"key"	"scientificName"	"decimalLatitude"	"decimalLongitude"	"issues"	"datasetKey"	"publishingOrgKey"	"installationKey"	"hostingOrganizationKey"	"publishingCountry"	"protocol"	"lastCrawled"	"lastParsed"	"crawlId"	"basisOfRecord"	"occurrenceStatus"	"taxonKey"	"kingdomKey"	"phylumKey"	"classKey"	"orderKey"	"familyKey"	"genusKey"	"speciesKey"	"acceptedTaxonKey"	"acceptedScientificName"	"kingdom"	"phylum"	"order"	"family"	"genus"	"species"	"genericName"	"specificEpithet"	"taxonRank"	"taxonomicStatus"	"iucnRedListCategory"	"dateIdentified"	"continent"	"stateProvince"	"year"	"month"	"day"	"eventDate"	"startDayOfYear"	"endDayOfYear"	"modified"	"lastInterpreted"	"references"	"license"	"isSequenced"	"identifier"	"facts"	"relations"	"isInCluster"	"datasetName"	"recordedBy"	"identifiedBy"	"geodeticDatum"	"class"	"countryCode"	"recordedByIDs"	"identifiedByIDs"	"gbifRegion"	"country"	"publishedByGbifRegion"	"rightsHolder"	"identifier.1"	"http...unknown.org.nick"	"verbatimEventDate"	"collectionCode"	"verbatimLocality"	"gbifID"	"occurrenceID"	"taxonID"	"catalogNumber"	"institutionCode"	"eventTime"	"http...unknown.org.captive"	"identificationID"	"name"	"coordinateUncertaintyInMeters"	"recordedByIDs.type"	"recordedByIDs.value"	"identifiedByIDs.type"	"identifiedByIDs.value"	"identificationRemarks"	"occurrenceRemarks"	"reproductiveCondition"
"5007538036"	"Protea cynaroides (L.) L."	-33.995494	18.417406	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"GB"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T13:43:07.937+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2025-01-01T15:39:36"	"AFRICA"	"Western Cape"	2025	1	1	"2025-01-01T15:03:02"	1	1	"2025-01-05T10:45:51.000+00:00"	"2025-01-14T13:43:07.937+00:00"	"https://www.inaturalist.org/observations/257010196"	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	FALSE	"257010196"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Viktor"	"Viktor"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"EUROPE"	"Viktor"	"257010196"	"viktor-n"	"2025-01-01 15:03:02"	"Observations"	"Wynberg NU (2), Cape Town, 7824, South Africa"	"5007538036"	"https://www.inaturalist.org/observations/257010196"	"132848"	"257010196"	"iNaturalist"	"15:03:02+02:00"	"wild"	"579227749"	"Protea cynaroides (L.) L."	NA	NA	NA	NA	NA	NA	NA	NA
"5007226573"	"Protea cynaroides (L.) L."	-33.995494	18.417406	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"GB"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T12:55:47.354+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2025-01-01T19:49:00"	"AFRICA"	"Western Cape"	2025	1	1	"2025-01-01T15:03:02"	1	1	"2025-01-03T10:55:50.000+00:00"	"2025-01-14T12:55:47.354+00:00"	"https://www.inaturalist.org/observations/257033850"	"http://creativecommons.org/publicdomain/zero/1.0/legalcode"	FALSE	"257033850"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Viktor"	"Alan Horstmann"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"EUROPE"	"Viktor"	"257033850"	"viktor-n"	"2025-01-01 15:03:02"	"Observations"	"Wynberg NU (2), Cape Town, 7824, South Africa"	"5007226573"	"https://www.inaturalist.org/observations/257033850"	"132848"	"257033850"	"iNaturalist"	"15:03:02+02:00"	"wild"	"579292969"	"Protea cynaroides (L.) L."	NA	NA	NA	NA	NA	NA	NA	NA
"5007835508"	"Protea cynaroides (L.) L."	-34.386667	19.264303	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T13:45:37.009+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2025-01-03T18:39:10"	"AFRICA"	"Western Cape"	2025	1	2	"2025-01-02T09:54:55"	2	2	"2025-01-05T10:45:37.000+00:00"	"2025-01-14T13:45:37.009+00:00"	"https://www.inaturalist.org/observations/257135797"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"257135797"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"MikeMurray"	"Clare Archer"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"MikeMurray"	"257135797"	"mike-inspiredphotoscapes"	"2025-01-02 09:54:55+02:00"	"Observations"	"Fernkloof Nature Reserve, Greater Hermanus, Western Cape, ZA"	"5007835508"	"https://www.inaturalist.org/observations/257135797"	"132848"	"257135797"	"iNaturalist"	"09:54:55+02:00"	"wild"	"579922841"	"Protea cynaroides (L.) L."	6	NA	NA	NA	NA	NA	NA	NA
"5007064712"	"Protea cynaroides (L.) L."	-33.995518	18.417407	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T13:45:42.180+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2025-01-03T19:51:19"	"AFRICA"	"Western Cape"	2025	1	1	"2025-01-01T15:07"	1	1	"2025-01-09T14:00:39.000+00:00"	"2025-01-14T13:45:42.180+00:00"	"https://www.inaturalist.org/observations/257267586"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"257267586"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"serradura"	"serradura"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"serradura"	"257267586"	"serradura"	"2025/01/01 3:07 PM"	"Observations"	"Wynberg NU (2), Cape Town, 7824, South Africa"	"5007064712"	"https://www.inaturalist.org/observations/257267586"	"132848"	"257267586"	"iNaturalist"	"15:07:00+02:00"	"wild"	"579939263"	"Protea cynaroides (L.) L."	NA	NA	NA	NA	NA	NA	NA	NA
"5007597945"	"Protea cynaroides (L.) L."	-33.996062	18.410378	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T13:46:58.663+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2025-01-06T07:45:59"	"AFRICA"	"Western Cape"	2025	1	5	"2025-01-05T11:49:37"	5	5	"2025-01-09T13:24:16.000+00:00"	"2025-01-14T13:46:58.663+00:00"	"https://www.inaturalist.org/observations/257506327"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"257506327"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"bosbevok"	"Colin Ralston"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"bosbevok"	"257506327"	"bosbevok"	"2025-01-05 18:49:37+09:00"	"Observations"	"Table Mountain National Park, Cape Town, Western Cape, ZA"	"5007597945"	"https://www.inaturalist.org/observations/257506327"	"132848"	"257506327"	"iNaturalist"	"11:49:37+02:00"	"wild"	"580772578"	"Protea cynaroides (L.) L."	104	NA	NA	NA	NA	NA	NA	NA
"5006950332"	"Protea cynaroides (L.) L."	-33.980078	20.447175	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T13:47:04.177+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2025-01-06T04:09:47"	"AFRICA"	"Western Cape"	2025	1	3	"2025-01-03T10:28:06"	3	3	"2025-01-09T13:22:31.000+00:00"	"2025-01-14T13:47:04.177+00:00"	"https://www.inaturalist.org/observations/257552118"	"http://creativecommons.org/licenses/by/4.0/legalcode"	FALSE	"257552118"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Michael D. Pirie"	"Michael D. Pirie"	"WGS84"	"Magnoliopsida"	"ZA"	NA	NA	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"Michael D. Pirie"	"257552118"	"mikepirie"	"2025-01-03 10:28:06"	"Observations"	"Swellendam, 6740, South Africa"	"5006950332"	"https://www.inaturalist.org/observations/257552118"	"132848"	"257552118"	"iNaturalist"	"10:28:06+02:00"	"wild"	"580732513"	"Protea cynaroides (L.) L."	NA	"ORCID"	"https://orcid.org/0000-0003-0403-4470"	"ORCID"	"https://orcid.org/0000-0003-0403-4470"	NA	NA	NA
"5007434884"	"Protea cynaroides (L.) L."	-33.941905	19.156208	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T12:58:44.453+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2025-01-06T10:38:25"	"AFRICA"	"Western Cape"	2025	1	5	"2025-01-05T09:47"	5	5	"2025-01-09T13:10:41.000+00:00"	"2025-01-14T12:58:44.453+00:00"	"https://www.inaturalist.org/observations/257575258"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"257575258"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"eugenevs"	"eugenevs"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"eugenevs"	"257575258"	"eugenevs"	"2025/01/05 9:47 AM"	"Observations"	"Cape Winelands District Municipality, South Africa"	"5007434884"	"https://www.inaturalist.org/observations/257575258"	"132848"	"257575258"	"iNaturalist"	"09:47:00+02:00"	"wild"	"580799191"	"Protea cynaroides (L.) L."	4	NA	NA	NA	NA	NA	NA	NA
"5007862425"	"Protea cynaroides (L.) L."	-33.972444	23.611617	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T13:41:40.529+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2025-01-06T11:36:58"	"AFRICA"	"Western Cape"	2025	1	6	"2025-01-06T09:46:44"	6	6	"2025-01-09T13:09:28.000+00:00"	"2025-01-14T13:41:40.529+00:00"	"https://www.inaturalist.org/observations/257578624"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"257578624"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Chris"	"Chris"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"Chris"	"257578624"	"cjberens"	"2025-01-06 09:46:44"	"Observations"	"Greater Plettenberg Bay, South Africa"	"5007862425"	"https://www.inaturalist.org/observations/257578624"	"132848"	"257578624"	"iNaturalist"	"09:46:44+02:00"	"wild"	"580810381"	"Protea cynaroides (L.) L."	4	NA	NA	NA	NA	NA	NA	NA
"5007893780"	"Protea cynaroides (L.) L."	-34.35477	18.823323	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T12:56:46.824+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2025-01-06T18:31:21"	"AFRICA"	"Western Cape"	2025	1	6	"2025-01-06T18:14:44"	6	6	"2025-01-09T13:10:31.000+00:00"	"2025-01-14T12:56:46.824+00:00"	"https://www.inaturalist.org/observations/257613945"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"257613945"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Christiaan Gildenhuys"	"Clare Archer"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"Christiaan Gildenhuys"	"257613945"	"christiaan_g"	"2025-01-06 18:14:44"	"Observations"	"Overberg, ZA-WC, ZA"	"5007893780"	"https://www.inaturalist.org/observations/257613945"	"132848"	"257613945"	"iNaturalist"	"18:14:44+02:00"	"wild"	"580932226"	"Protea cynaroides (L.) L."	6	NA	NA	NA	NA	NA	NA	NA
"5007896163"	"Protea cynaroides (L.) L."	-33.965268	18.408179	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T13:52:42.168+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2025-01-07T20:21:19"	"AFRICA"	"Western Cape"	2025	1	7	"2025-01-07T11:25:36"	7	7	"2025-01-09T12:53:11.000+00:00"	"2025-01-14T13:52:42.168+00:00"	"https://www.inaturalist.org/observations/257733555"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"257733555"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Jean Stephenson"	"Jean Stephenson"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"Jean Stephenson"	"257733555"	"jeanstephenson"	"2025-01-07 11:25:36"	"Observations"	"Table Mountain (Nature Reserve), Cape Town, South Africa"	"5007896163"	"https://www.inaturalist.org/observations/257733555"	"132848"	"257733555"	"iNaturalist"	"11:25:36+02:00"	"wild"	"581265659"	"Protea cynaroides (L.) L."	6	NA	NA	NA	NA	NA	NA	NA
"4935630100"	"Protea cynaroides (L.) L."	-34.592037	19.684462	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T13:35:05.154+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2024-01-05T06:48:08"	"AFRICA"	"Western Cape"	2024	1	4	"2024-01-04T11:09:36"	4	4	"2024-08-29T20:59:34.000+00:00"	"2025-01-14T13:35:05.154+00:00"	"https://www.inaturalist.org/observations/195811099"	"http://creativecommons.org/licenses/by/4.0/legalcode"	FALSE	"195811099"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Lizl Lubbe"	"chbluete"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"Lizl Lubbe"	"195811099"	"lizl5"	"2024-01-04 11:09:36"	"Observations"	"Sandberg Fynbos Reserve"	"4935630100"	"https://www.inaturalist.org/observations/195811099"	"132848"	"195811099"	"iNaturalist"	"11:09:36+02:00"	"wild"	"440651814"	"Protea cynaroides (L.) L."	4	NA	NA	NA	NA	NA	NA	NA
"4512180675"	"Protea cynaroides (L.) L."	-33.902669	19.163077	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T12:42:42.140+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2024-01-08T06:24:49"	"AFRICA"	"Western Cape"	2024	1	7	"2024-01-07T08:24:20"	7	7	"2024-01-16T07:58:41.000+00:00"	"2025-01-14T12:42:42.140+00:00"	"https://www.inaturalist.org/observations/196100764"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"196100764"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Santie Gouws"	"Santie Gouws"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"Santie Gouws"	"196100764"	"dryfveer"	"2024-01-07 08:24:20"	"Observations"	"Cape Winelands, ZA-WC, ZA"	"4512180675"	"https://www.inaturalist.org/observations/196100764"	"132848"	"196100764"	"iNaturalist"	"08:24:20+02:00"	"wild"	"441467875"	"Protea cynaroides (L.) L."	8	NA	NA	NA	NA	NA	NA	NA
"4510382203"	"Protea cynaroides (L.) L."	-33.882398	19.173152	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T12:43:29.393+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2024-01-08T06:29:33"	"AFRICA"	"Western Cape"	2024	1	7	"2024-01-07T13:20:07"	7	7	"2024-01-16T07:58:35.000+00:00"	"2025-01-14T12:43:29.393+00:00"	"https://www.inaturalist.org/observations/196100915"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"196100915"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Santie Gouws"	"Santie Gouws"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"Santie Gouws"	"196100915"	"dryfveer"	"2024-01-07 13:20:07"	"Observations"	"Cape Winelands, ZA-WC, ZA"	"4510382203"	"https://www.inaturalist.org/observations/196100915"	"132848"	"196100915"	"iNaturalist"	"13:20:07+02:00"	"wild"	"441468398"	"Protea cynaroides (L.) L."	6	NA	NA	NA	NA	NA	NA	NA
"4510434472"	"Protea cynaroides (L.) L."	-33.960679	18.43101	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T12:43:16.959+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2024-01-09T14:45:00"	"AFRICA"	"Western Cape"	2024	1	9	"2024-01-09T11:24"	9	9	"2024-01-16T07:58:32.000+00:00"	"2025-01-14T12:43:16.959+00:00"	"https://www.inaturalist.org/observations/196206018"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"196206018"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Aidan and Andrew"	"Aidan and Andrew"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"Aidan and Andrew"	"196206018"	"idlelayabout"	"2024/01/09 11:24 AM"	"Observations"	"Table Mountain (Nature Reserve), Cape Town, South Africa"	"4510434472"	"https://www.inaturalist.org/observations/196206018"	"132848"	"196206018"	"iNaturalist"	"11:24:00+02:00"	"wild"	"441808404"	"Protea cynaroides (L.) L."	15	NA	NA	NA	NA	NA	NA	NA
"4510206594"	"Protea cynaroides (L.) L."	-33.983978	20.448573	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T12:46:28.851+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2024-01-09T16:39:29"	"AFRICA"	"Western Cape"	2024	1	9	"2024-01-09T14:20:17"	9	9	"2024-01-16T07:58:30.000+00:00"	"2025-01-14T12:46:28.851+00:00"	"https://www.inaturalist.org/observations/196213242"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"196213242"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Barbara le Roux"	"Barbara le Roux"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"Barbara le Roux"	"196213242"	"barbaraleroux"	"2024-01-09 14:20:17"	"Observations"	"Swellendam, 6740, South Africa"	"4510206594"	"https://www.inaturalist.org/observations/196213242"	"132848"	"196213242"	"iNaturalist"	"14:20:17+02:00"	"wild"	"441832953"	"Protea cynaroides (L.) L."	53	NA	NA	NA	NA	NA	NA	NA
"4512114015"	"Protea cynaroides (L.) L."	-34.326137	18.998963	"cdc,cdround"	"50c9509d-22c7-4a22-a47d-8c48425ef4a7"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"997448a8-f762-11e1-a439-00145eb45e9a"	"28eb1a3f-1c15-4a95-931a-4af90ecb574d"	"US"	"DWC_ARCHIVE"	"2025-01-13T15:58:36.535+00:00"	"2025-01-14T12:43:56.321+00:00"	514	"HUMAN_OBSERVATION"	"PRESENT"	5637947	6	7707728	220	400	2414	5428464	5637947	5637947	"Protea cynaroides (L.) L."	"Plantae"	"Tracheophyta"	"Proteales"	"Proteaceae"	"Protea"	"Protea cynaroides"	"Protea"	"cynaroides"	"SPECIES"	"ACCEPTED"	"LC"	"2024-01-10T08:23:40"	"AFRICA"	"Western Cape"	2024	1	7	"2024-01-07T17:15"	7	7	"2024-01-16T07:58:28.000+00:00"	"2025-01-14T12:43:56.321+00:00"	"https://www.inaturalist.org/observations/196262643"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	FALSE	"196262643"	"none"	"none"	FALSE	"iNaturalist research-grade observations"	"Vic Brink"	"Vic Brink"	"WGS84"	"Magnoliopsida"	"ZA"	"none"	"none"	"AFRICA"	"South Africa"	"NORTH_AMERICA"	"Vic Brink"	"196262643"	"vic_brink"	"2024/01/07 5:15 PM"	"Observations"	"Kleinmond, 7195, South Africa"	"4512114015"	"https://www.inaturalist.org/observations/196262643"	"132848"	"196262643"	"iNaturalist"	"17:15:00+02:00"	"wild"	"441999371"	"Protea cynaroides (L.) L."	640	NA	NA	NA	NA	NA	NA	NA
